Ticker,Holding_Company_Name,Primary_Bank_Sub_Name,Company_name_SEC,FDIC_cert,RSSD_ID,CIK
PNC,PNC FINANCIAL SERVICES GROUP INC,"PNC Bank, National Association",,6384,817824,0000713676
USB,US BANCORP,U.S. Bank National Association,,6548,504713,
TFC,TRUIST FINANCIAL CORP,Truist Bank,,9846,852320,
FITB,FIFTH THIRD BANCORP,"Fifth Third Bank, National Association",,6672,723112,
CFG,CITIZENS FINANCIAL GROUP INC,"Citizens Bank, National Association",,57957,3303298,
MTB,M&T BANK CORP,Manufacturers and Traders Trust Company,,588,501105,
HBAN,HUNTINGTON BANCSHARES INC,The Huntington National Bank,,6560,12311,
RF,REGIONS FINANCIAL CORP,Regions Bank,,12368,233031,
KEY,KEYCORP,KeyBank National Association,,17534,280110,
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,First-Citizens Bank & Trust Company,,11063,491224,
EWBC,EAST WEST BANCORP INC,East West Bank,,31628,197478,
PNFP,PINNACLE FINANCIAL PARTNERS INC,Pinnacle Bank,,35583,2925666,
WBS,WEBSTER FINANCIAL CORP,"Webster Bank, National Association",,18221,761806,
FHN,FIRST HORIZON CORP,First Horizon Bank,,4977,485559,
WTFC,WINTRUST FINANCIAL CORP,"Wintrust Bank, National Association",,33935,2239288,
SSB,SOUTHSTATE BANK CORP,"SouthState Bank, National Association",,33555,1929247,
BPOP,POPULAR INC,Banco Popular de Puerto Rico,,34968,940311,
ZION,ZIONS BANCORPORATION,"Zions Bancorporation, N.A.",,2270,276579,
CFR,CULLEN FROST BANKERS INC,Frost Bank,,5510,682563,
UMBF,UMB FINANCIAL CORP,"UMB Bank, National Association",,8273,936855,
WAL,WESTERN ALLIANCE,Western Alliance Bank,,57512,3138146,
PB,PROSPERITY BANCSHARES INC,Prosperity Bank,,16835,664756,
CBSH,COMMERCE BANCSHARES INC,Commerce Bank,,24998,601050,
VLY,VALLEY NATIONAL,Valley National Bank,,9396,229801,
FNB,FNB CORP,First National Bank of Pennsylvania,,7888,379920,
GBCI,GLACIER BANCORP INC,Glacier Bank,,30788,2634191,
UBSI,UNITED BANKSHARES INC,United Bank,,22858,365325,
OZK,BANK OZK,Bank OZK,,110,107244,
HOMB,HOME BANCSHARES INC,Centennial Bank,,11241,456045,
FFIN,FIRST FINANCIAL BANKSHARES INC,First Financial Bank,,3066,470050,
BOKF,BOK FINANCIAL CORP,"BOKF, National Association",,4214,339858,
