Ticker,Holding_Company_Name,SEC_Company_Name,Primary_Bank_Sub_Name,FDIC_cert,RSSD_ID,CIK
PNC,PNC FINANCIAL SERVICES GROUP INC,"PNC FINANCIAL SERVICES GROUP, INC.","PNC Bank, National Association",6384,817824,0000713676
USB,US BANCORP,US BANCORP DE,U.S. Bank National Association,6548,504713,0000036104
TFC,TRUIST FINANCIAL CORP,TRUIST FINANCIAL CORP,Truist Bank,9846,852320,0000092230
FITB,FIFTH THIRD BANCORP,FIFTH THIRD BANCORP,"Fifth Third Bank, National Association",6672,723112,0000035527
CFG,CITIZENS FINANCIAL GROUP INC,CITIZENS FINANCIAL GROUP INC/RI,"Citizens Bank, National Association",57957,3303298,0000759944
MTB,M&T BANK CORP,M&T BANK CORP,Manufacturers and Traders Trust Company,588,501105,0000036270
HBAN,HUNTINGTON BANCSHARES INC,HUNTINGTON BANCSHARES INC /MD/,The Huntington National Bank,6560,12311,0000049196
RF,REGIONS FINANCIAL CORP,REGIONS FINANCIAL CORP,Regions Bank,12368,233031,0001281761
KEY,KEYCORP,KEYCORP /NEW/,KeyBank National Association,17534,280110,0000091576
FCNCA,FIRST CITIZENS BANCSHARES INC CLAS,FIRST CITIZENS BANCSHARES INC /DE/,First-Citizens Bank & Trust Company,11063,491224,0000798941
EWBC,EAST WEST BANCORP INC,EAST WEST BANCORP INC,East West Bank,31628,197478,0001069157
PNFP,PINNACLE FINANCIAL PARTNERS INC,"Pinnacle Financial Partners, Inc.",Pinnacle Bank,35583,2925666,0002082866
WBS,WEBSTER FINANCIAL CORP,WEBSTER FINANCIAL CORP,"Webster Bank, National Association",18221,761806,0000801337
FHN,FIRST HORIZON CORP,FIRST HORIZON CORP,First Horizon Bank,4977,485559,0000036966
WTFC,WINTRUST FINANCIAL CORP,WINTRUST FINANCIAL CORP,"Wintrust Bank, National Association",33935,2239288,0001015328
SSB,SOUTHSTATE BANK CORP,SouthState Bank Corp,"SouthState Bank, National Association",33555,1929247,0000764038
BPOP,POPULAR INC,"POPULAR, INC.",Banco Popular de Puerto Rico,34968,940311,0000763901
ZION,ZIONS BANCORPORATION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/","Zions Bancorporation, N.A.",2270,276579,0000109380
CFR,CULLEN FROST BANKERS INC,"CULLEN/FROST BANKERS, INC.",Frost Bank,5510,682563,0000039263
UMBF,UMB FINANCIAL CORP,UMB FINANCIAL CORP,"UMB Bank, National Association",8273,936855,0000101382
WAL,WESTERN ALLIANCE,WESTERN ALLIANCE BANCORPORATION,Western Alliance Bank,57512,3138146,0001212545
PB,PROSPERITY BANCSHARES INC,PROSPERITY BANCSHARES INC,Prosperity Bank,16835,664756,0001068851
CBSH,COMMERCE BANCSHARES INC,COMMERCE BANCSHARES INC /MO/,Commerce Bank,24998,601050,0000022356
VLY,VALLEY NATIONAL,VALLEY NATIONAL BANCORP,Valley National Bank,9396,229801,0000714310
FNB,FNB CORP,FNB CORP/PA/,First National Bank of Pennsylvania,7888,379920,0000037808
GBCI,GLACIER BANCORP INC,"GLACIER BANCORP, INC.",Glacier Bank,30788,2634191,0000868671
UBSI,UNITED BANKSHARES INC,UNITED BANKSHARES INC/WV,United Bank,22858,365325,0000729986
OZK,BANK OZK,Bank OZK,Bank OZK,110,107244,0001569650
HOMB,HOME BANCSHARES INC,HOME BANCSHARES INC,Centennial Bank,11241,456045,0001331520
FFIN,FIRST FINANCIAL BANKSHARES INC,FIRST FINANCIAL BANKSHARES INC,First Financial Bank,3066,470050,0000036029
BOKF,BOK FINANCIAL CORP,BOK FINANCIAL CORP,"BOKF, National Association",4214,339858,0000875357
